**catalog	**syllables
Trm0003	154
Trm0023	72
Trm0024	72
Trm0025	86
Trm0026	86
Trm0028	154
Trm0033	154
Trm0038	154
Trm0046	154
Trm0047	89
Trm0048	93
Trm0051	154
Trm0052	154
Trm0059	72
Trm0060	72
Trm0075	86
Trm0081	154
Trm0088	154
Trm0089	154
Trm0090	89
Trm0093	137
Trm0096	68
Trm0097	79
Trm0099	154
Trm0107	154
Trm0126	154
Trm0135	106
Trm0137	72
Trm0139	75
Trm0143	114
Trm0144	114
Trm0152	75
Trm0154	75
Trm0155	75
Trm0157	87
Trm0159	154
Trm0160	495
Trm0164	154
Trm0165	75
Trm0166	75
Trm0167	124
Trm0174	154
Trm0175	88
Trm0183	154
Trm0187	154
Trm0189	118
Trm0190	93
Trm0191	93
Trm0194	100
Trm0195	117
Trm0196	98
Trm0198	72
Trm0202	75
Trm0204	72
Trm0237	154
Trm0240	90
Trm0241	86
Trm0242	64
Trm0243	76
Trm0244	86
Trm0246	68
Trm0247	75
Trm0248	68
Trm0254	94
Trm0255	122
Trm0256	83
Trm0257	104
Trm0259	68
Trm0261	91
Trm0265	76
Trm0266	72
Trm0267	83
Trm0272	75
Trm0275	68
Trm0276	76
Trm0277	123
Trm0279	79
Trm0284	64
Trm0288	75
Trm0289	76
Trm0297	132
Trm0298	94
Trm0302	57
Trm0303	68
Trm0305	39
Trm0307	68
Trm0308	68
Trm0309	131
Trm0314	75
Trm0315	65
Trm0318	68
Trm0319	82
Trm0322	61
Trm0323	86
Trm0325	83
Trm0326	61
Trm0327	79
Trm0333	61
Trm0335	72
Trm0338	68
Trm0339	72
Trm0341	88
Trm0342	68
Trm0343	75
Trm0345	58
Trm0346	75
Trm0347	68
Trm0353	123
Trm0354	87
Trm0356	160
Trm0358	96
Trm0359	87
Trm0361	141
Trm0362	154
Trm0363	154
Trm0366	154
Trm0367	154
Trm0371	72
Trm0372	75
Trm0373	53
Trm0376	94
Trm0378	200
Trm0379	268
Trm0380	154
Trm0389	154
Trm0395	154
Trm0399	68
Trm0407	104
Trm0408	75
Trm0410	75
Trm0417	75
Trm0418	57
Trm0433	108
Trm0443	108
Trm0495	57
Trm0541	154
Trm0549	154
Trm0553	154
Trm0558	154
Trm0560	60
Trm0564	100
Trm0571	103
Trm0592	154
Trm0602	103
Trm0611	100
Trm0612	154
Trm0614	79
Trm0615	79
Trm0617	154
Trm0707	154
Trm0734	50
Trm0735	47
Trm0760	75
Trm0770	154
Trm0785	75
Trm0862	154
Trm0865	154
Trm0893	154
Trm0896	75
Trm0901	65
Trm0903	69
Trm0929	84
Trm0930	109
Trm0939	154
Trm1021	101
Trm1022	235
Trm1032	97
Trm1048	65
Trm1049	76
Trm1050	176
Trm1082	94
Trm1177	68
Trm1203	75
Trm1204	75
Trm1205	68
Trm1245	154
Trm1263	128
Trm1276	105
Trm1370	108
Trm1497	68
Trm1637	111
Trm1653	144
Trm1688	154
Tam1010001	76
Tam1020338	96
Tam1020401	99
Tam1020410	105
Tam1020422	72
Tam1020431	82
Tam1020441	121
Tam1020452	77
Tam1020459	91
Tam1020468	88
Tam1020476	110
Tam1020486	60
Tam1020494	71
Tam1020502	60
Tam2010724	88
Tam2031034	78
Tam2031045	73
Tam2031052	113
Tam2031061	66
Tam2031067	88
Tam2031075	54
Tam2031081	80
Tam2031089	77
Tam2031096	44
Tam2031100	66
Tam2031106	25
Tam2031109	44
Tam2031113	88
Tam2031121	55
Tam2031126	77
Tam2031133	77
Tam3021324	83
Tam3021417	111
Tam3021430	75
Tam4011614	148
Tam4021717	92
Tam4021779	78
Tam4021827	66
Tam4021833	62
Tam5011850	88
Tam5011934	110
Tam5011978	161
Tbv0002	88
Tco0806	88
Tec1001	29
Tec1089	43
Tec2073	176
Tec3108	72
Tri5016	88
Tri5018	88
Trt0506	61
!! All Gerusalemme consist of 8 11-syllable lines.
Tsg01002	88
Tsg01003	88
Tsg03008	88
Tsg06103	88
Tsg06104	88
Tsg06105	88
Tsg07019	88
Tsg07020	88
Tsg07021	88
Tsg12077	88
Tsg12078	88
Tsg12079	88
Tsg12096	88
Tsg12097	88
Tsg12098	88
Tsg12099	88
Tsg14001	88
Tsg14062	88
Tsg16012	88
Tsg16013	88
Tsg16014	88
Tsg16043	88
Tsg16044	88
Tsg16045	88
Tsg16046	88
Tsg16047	88
Tsg16056	88
Tsg16059	88
Tsg16060	88
Tsg16061	88
Tsg16062	88
Tsg16063	88
Tsg16064	88
Tsg16065	88
Tsg16066	88
Tsg19106	88
Tsg19107	88
Tsg20123	88
Tsg20124	88
Tsg20125	88
Tsg20126	88
Tsg20127	88
Tsg20128	88
Tsg20129	88
Tsg20130	88
Tsg20131	88
Tsg20134	88
*-	*-
