Name	Birth Date	Death Date	Printed Date	Nationality	Notes
Aagesen, Truid	1593	1625	1593-1625	Danish
Acelli, Cesare	<1586	>1588	fl. 1586-88
Agostini, Lodovico	1534	1590/09/20
Albano, Marcello	<1601	>1616
Alberti, Innocenzo	~1535	~1615
Anerio, Giovanni Francesco
Anerio, Giovanni Francesco	~1567	1630/06
Angelini, Orazio	<1583	>1592
Angelo Gardano
Anonymous
Asola, Giammateo	<1533	1609	c. 1532-1609
Bacchini, Giovanni Maria	<1588	>1607	fl. 1588-1607
Baccusi, Ippolito	~1550	1609	c. 1550-1609
Balsamino, Simone	<1591	>1596	fl. 1591-96
Bartoli, Giovan Battista	<1617	>1617	fl. 1617
Bellanda, Lodovico	~1575	>1613	c. 1575-aft. 1613
Bellante, Dionisio	~1610	~1685	c. 1610-c. 1685
Bellasio, Paolo	1554/05/20	1594/07/10	1554-1594
Bellaver, Vincenzo	1530	1587/08/29	1530-1587	.	Using Veneto spelling with consonant ending.
Belli, Girolamo	1552	~1620	1552-c. 1620
Belli, Giulio	~1560	>1620	c. 1560-aft. 1620
Benedetti, Piero	~1585	1649	c. 1585-1649
Bertani, Lelio	~1553	1612
Biffi, Giuseppe
Billi, Lutio
Bonelli, Aurelio	~1569	>1620	c. 1569-aft. 1620
Bonini, Pietro Andrea	~1550	~1625	c. 1550-c. 1625
Borchgrevink, Melchior	1565	1632/12/30	1565-1632	Danish
Borelli, Francesco Maria
Borsaro, Arcangelo	<1587	1616	bef. 1587-1616	.	Born Reggio nell'Emilia
Boschetti, Giovanni Boschetto	?	1622	?-1622
Bozi, Paolo
Caimo, Giuseppe
Caletti, Giovanni Battista
Camarella, Giovanni Battista	<1615	>1615	fl. early 17th century
Cancineo, Michelangelo
Cantino, Paolo
Cantone, Serafino	<1580	>1627	c. 1580-c. 1627
Capece, Alessandro	?	>1635	?-aft. 1635
Capilupi, Geminiano
Caprioli, Giovanni Paolo	?	~1627	?-c. 1627?
Casentini, Marsilio
Castro, Jean de
Cavaccio, Giovanni
Cavatoni, Pietro	<1572	>1579	fl. 1572-1579
Cerbello, Giovanni Battista
Cifra, Antonio	~1584	1629	1584?-1629
Cirullo, Giovanni Antonio
Civita, Davide
Clemsee, Christoforo
Colombi, Giovanni Bernardo
Coma, Annibale	~1550	>1598	c. 1550-aft. 1598
Corfini, Jacopo
Cortellini, Camillo	1561	1640	1561/01/24-1640
Costa, Giovanni Maria
Costanzo, Alessandro di
Crisci, Orazio
Croce, Giovanni
D'India, Sigismondo	~1582	<1629	c. 1582-bef. 1629
Dalla Casa, Girolamo
Dalla Gostena, Giovanni Battista
Dentice, Scipione	1550	1633	1560-1633
Dering, Richard
Di Costanzo, Alessandro
Dragoni, Giovanni Andrea
Duc, Filippo
Dueto, Antonio	~1545	~1602	c. 1545-c. 1602
Effrem, Muzio
Eredi, Francesco	~1578	>1635	1575 or 1581-aft. 1635
Eremita, Giulio
Facchi, Agostino
Falcone, Achille
Feliciani, Andrea
Felis, Stefano	~1538	1603/09/25	c. 1538-1603
Ferrabosco, Alfonso
Ferro, Giulio
Ferro, Pier Matheo
Fiamengo, Giovanni	<1620	>1629	fl. 1620s
Florio, Giovanni
Fonghetti, Paolo
Fornaci, Giacomo
