ID:A-CM            	L46	V1:	.A[MINTA]. Dura conclusion che tutte attosca
ID:A-1581B         	L99	V1:	Am. Dura conclusion, che tutte attosca
ID:Tam2031075a-Canto	L764	V1:	Dura conclusion che tutt’attosca
ID:Tam2031075a-Alto	L781	V1:	Dura conclusion che tutt’attosca
ID:Tam2031075a-Tenore	L798	V1:	AMINTA Dura conclusion che tutt’attosca
ID:Tam2031075a-Basso	L815	V1:	Dura conclusion che tutt’attosca
ID:Tam2031075a-Quinto	L832	V1:	Dura conclusion che tutt’attosca
ID:Tam2031075a-Sesto	L849	V1:	Dura conclusion che tutt’attosca

ID:A-CM            	L47	V2:	Le dolcezze passate. hor con qual arte
ID:A-1581B         	L100	V2:	Le dolcezze passate. hor, con qual'arte,
ID:Tam2031075a-Canto	L765	V2:	Le dolcezze passate Hor con qual’arte
ID:Tam2031075a-Alto	L782	V2:	Le dolcezze passate hor con qual’arte
ID:Tam2031075a-Tenore	L799	V2:	Le dolcezze passate hor con qual’arte
ID:Tam2031075a-Basso	L816	V2:	Le dolcezze passate Hor con qual’arte
ID:Tam2031075a-Quinto	L833	V2:	Le dolcezze passate hor con qual’arte
ID:Tam2031075a-Sesto	L850	V2:	Le dolcezze passate hor con qual’arte

ID:A-CM            	L48	V3:	Crudel tu mi tormenti?
ID:A-1581B         	L101	V3:	Crudel, tu mi tormenti?
ID:Tam2031075a-Canto	L766	V3:	crudel tu mi tormenti
ID:Tam2031075a-Alto	L783	V3:	Crudel tu mi tormenti
ID:Tam2031075a-Tenore	L800	V3:	[TACET]
ID:Tam2031075a-Basso	L817	V3:	crudel tu mi tormenti
ID:Tam2031075a-Quinto	L834	V3:	Crudel tu mi tormenti
ID:Tam2031075a-Sesto	L851	V3:	Crudel tu mi tormenti

ID:A-CM            	L49	V4:	Poco dunque ti pare
ID:A-1581B         	L102	V4:	Poco dunque ti pare,
ID:Tam2031075a-Canto	L767	V4:	Poco dunque ti pare
ID:Tam2031075a-Alto	L784	V4:	Poco dunque ti pare
ID:Tam2031075a-Tenore	L801	V4:	Poco dunque ti pare
ID:Tam2031075a-Basso	L818	V4:	Poco dunque ti pare
ID:Tam2031075a-Quinto	L835	V4:	Poco dunque ti pare
ID:Tam2031075a-Sesto	L852	V4:	Poco dunque ti pare

ID:A-CM            	L50	V5:	Che infelice io sia
ID:A-1581B         	L103	V5:	Che infelice io sia,
ID:Tam2031075a-Canto	L768	V5:	ch’infelice io sia
ID:Tam2031075a-Alto	L785	V5:	Ch’infelice io sia
ID:Tam2031075a-Tenore	L802	V5:	Ch’infelice io sia
ID:Tam2031075a-Basso	L819	V5:	ch’infelice io sia
ID:Tam2031075a-Quinto	L836	V5:	Ch’infelice io sia
ID:Tam2031075a-Sesto	L853	V5:	Ch’infelice io sia

ID:A-CM            	L51	V6:	Ch’accrescier vieni la miseria mia
ID:A-1581B         	L104	V6:	Che a crescer vieni la miseria mia.
ID:Tam2031075a-Canto	L769	V6:	Ch’a crescier vieni la miseria mia.
ID:Tam2031075a-Alto	L786	V6:	Ch’a crescer vieni la miseria mia.
ID:Tam2031075a-Tenore	L803	V6:	Ch’a crescer vieni la miseria mia.
ID:Tam2031075a-Basso	L820	V6:	Ch’a crescier vieni la miseria mia.
ID:Tam2031075a-Quinto	L837	V6:	Ch’a crescier vieni la miseria mia.
ID:Tam2031075a-Sesto	L854	V6:	Ch’a crescer vieni la miseria mia.

