ID:A-CM            	L46	V1:	Silvia io ti seguo io vengo
ID:A-1580D         	L90	V1:	N.	Silvia io ti seguo, io vengo
ID:A-1581Bbis      	L125	V1:	Silvia, io ti segu,o io vengo
ID:A-1581O         	L169	V1:	NUN.	Silvia, io ti seguo, io vengo
ID:Tam4021717a-Canto	L792	V1:	Silvia io ti seguo Io vengo
ID:Tam4021717a-Basso	L814	V1:	Silvia io ti seguo Io vengo
ID:Tam4021717a-Quinto	L836	V1:	Silvia io ti seguo Io vengo

ID:A-CM            	L47	V2:	À farti compagnia
ID:A-1580D         	L91	V2:	A farti compagnia,
ID:A-1581Bbis      	L126	V2:	À farti compagnia,
ID:A-1581O         	L170	V2:	A farti compagnia,
ID:Tam4021717a-Canto	L793	V2:	a farti compagnia
ID:Tam4021717a-Basso	L815	V2:	a farti compagnia
ID:Tam4021717a-Quinto	L837	V2:	a farti compagnia

ID:A-CM            	L48	V3:	Se non la sdegnerai
ID:A-1580D         	L92	V3:	Se non la sdegnerai,
ID:A-1581Bbis      	L127	V3:	Se non la sdegnerai:
ID:A-1581O         	L171	V3:	Se non la sdegnerai:
ID:Tam4021717a-Canto	L794	V3:	Se non la sdegnerai
ID:Tam4021717a-Basso	L816	V3:	Se non la sdegnerai
ID:Tam4021717a-Quinto	L838	V3:	Se non la sdegnerai

ID:A-CM            	L49	V4:	E morirei contento
ID:A-1580D         	L93	V4:	E morirei contento,
ID:A-1581Bbis      	L128	V4:	E morirei contento:
ID:A-1581O         	L172	V4:	E morirei contento:
ID:Tam4021717a-Canto	L795	V4:	E morirei contento
ID:Tam4021717a-Basso	L817	V4:	E morirei contento
ID:Tam4021717a-Quinto	L839	V4:	E morirei contento

ID:A-CM            	L50	V5:	S’io fossi certo almeno
ID:A-1580D         	L94	V5:	S’io fossi certo almeno,
ID:A-1581Bbis      	L129	V5:	S’io fossi certo almeno,
ID:A-1581O         	L173	V5:	S’io fossi certo almeno,
ID:Tam4021717a-Canto	L796	V5:	S’io fossi certo almeno
ID:Tam4021717a-Basso	L818	V5:	S’io fossi certo almeno
ID:Tam4021717a-Quinto	L840	V5:	S’io fossi certo almeno

ID:A-CM            	L51	V6:	Ch’el mio venirti dietro
ID:A-1580D         	L95	V6:	Che'l mio venirti dietro,
ID:A-1581Bbis      	L130	V6:	Che'l mio venirti dietro
ID:A-1581O         	L174	V6:	Che'l mio venirti dietro
ID:Tam4021717a-Canto	L797	V6:	Che’l mio venirti dietro
ID:Tam4021717a-Basso	L819	V6:	Che’l mio venirti dietro
ID:Tam4021717a-Quinto	L841	V6:	Che’l mio venirti dietro

ID:A-CM            	L52	V7:	Turbar non ti dovessi
ID:A-1580D         	L96	V7:	Turbar non ti dovesse,
ID:A-1581Bbis      	L131	V7:	Turbar non ti dovesse,
ID:A-1581O         	L175	V7:	Turbar non ti dovesse,
ID:Tam4021717a-Canto	L798	V7:	Turbar non ti dovessi
ID:Tam4021717a-Basso	L820	V7:	Turbar non ti dovessi
ID:Tam4021717a-Quinto	L842	V7:	Turbar non ti dovessi

ID:A-CM            	L53	V8:	E che fosse finita
ID:A-1580D         	L97	V8:	E, che fosse finita
ID:A-1581Bbis      	L132	V8:	E che fosse finita
ID:A-1581O         	L176	V8:	E che fosse finita
ID:Tam4021717a-Canto	L799	V8:	E che fosse finita
ID:Tam4021717a-Basso	L821	V8:	E che fosse finita
ID:Tam4021717a-Quinto	L843	V8:	E che fosse finita

ID:A-CM            	L54	V9:	L’ira tua con la vita
ID:A-1580D         	L98	V9:	L’ira tua con la vita.
ID:A-1581Bbis      	L133	V9:	L’ira tua con la vita:
ID:A-1581O         	L177	V9:	L’ira tua con la vita:
ID:Tam4021717a-Canto	L800	V9:	L’ira tua con la vita
ID:Tam4021717a-Basso	L822	V9:	L’ira tua con la vita
ID:Tam4021717a-Quinto	L844	V9:	L’ira tua con la vita

ID:A-CM            	L55	V10:	Silvia io ti seguo io vengo. e cosi detto
ID:A-1580D         	L99	V10:	Silvia, io ti seguo, io vengo, e cosi detto,
ID:A-1581Bbis      	L134	V10:	Silvia, io ti seguo: io vengo. Cosi detto,
ID:A-1581O         	L178	V10:	Silvia, io ti seguo: io vengo. Cosi detto,
ID:Tam4021717a-Canto	L801	V10:	Silvia io ti seguo Io vengo
ID:Tam4021717a-Basso	L823	V10:	Silvia io ti seguo Io vengo
ID:Tam4021717a-Quinto	L845	V10:	Silvia io ti seguo Io vengo

ID:A-CM            	L56	V11:	Precipitossi d'alto
ID:A-1580D         	L100	V11:	Precipitossi d'alto
ID:A-1581Bbis      	L135	V11:	Precipitossi d'alto
ID:A-1581O         	L179	V11:	Precipitossi d'alto
ID:Tam4021717a-Canto	L802	V11:	a farti compagnia.
ID:Tam4021717a-Basso	L824	V11:	a farti compagnia.
ID:Tam4021717a-Quinto	L846	V11:	a farti compagnia.

ID:A-1580D         	L101	V12:	Col capo in giuso, &amp; io restai di ghiaccio.
ID:A-1581O         	L180	V12:	Co’l capo in giuso, &amp; io restai di ghiaccio,

