ID:S48             	L43	V1:	Voi mi chiedete il core

ID:S48             	L44	V2:	E partendo il portate,

ID:S48             	L45	V3:	Ne’l vostro in quella vece à me lasciate:

ID:S48             	L46	V4:	S’odio pur e dispregio

ID:S48             	L47	V5:	Egli ritorna in voi,

ID:S48             	L48	V6:	Dhe non vi resti un’hora, e non vi annoi;

ID:S48             	L49	V7:	Ma s’Amor forse è pregio

ID:S48             	L50	V8:	Onde nasce l’oblio,

ID:S48             	L51	V9:	Perche non mi chiamate ov’è il cor mio?

