ID:S87             	L44	V1:	Poi che non spira al mio soave foco,

ID:S87             	L45	V2:	Amor, come solea, placida l’aura:

ID:S87             	L46	V3:	Chi temprerà questa amorosa fiamma?

ID:S87             	L47	V4:	Qual troverò solinga, e chiara fonte,

ID:S87             	L48	V5:	Cinta di lauri, ò quale ombroso rivo:

ID:S87             	L49	V6:	Mentre io mi sfaccio à sì lucenti raggi?

ID:S87             	L51	V7:	Ahi soavi ben furo, e dolci i raggi,

ID:S87             	L52	V8:	Ch’acceser già ne l’alma il dolce foco,

ID:S87             	L53	V9:	Struggendo il gelo interno in caldo rivo,

ID:S87             	L54	V10:	E movendo i sospiri à guisa d’aura:

ID:S87             	L55	V11:	Mentre d’ogni pietà la viva fonte

ID:S87             	L56	V12:	Diè qualche refrigerio à tanta fiamma.

ID:S87             	L58	V13:	D’Etna somiglia pur l’accesa fiamma,

ID:S87             	L59	V14:	Ò di Fetonte traviato i raggi:

ID:S87             	L60	V15:	Quando s’ascose ne l’occulto fonte,

ID:S87             	L61	V16:	Il Nilo, per fuggir l’ardente foco;

ID:S87             	L62	V17:	Nè da l’Istro, ò dal Reno ò vento, ò d’ aura

ID:S87             	L63	V18:	Soffiar potea, non che da secco rivo.

ID:S87             	L65	V19:	Chè giova (oime) versar nel seno un rivo:

ID:S87             	L66	V20:	Se cresce al suo stillar la crudel fiamma ,

ID:S87             	L67	V21:	E de’ lamenti miei s’accende a l’aura?

ID:S87             	L68	V22:	Se non manca homai l’esca à questi raggi:

ID:S87             	L69	V23:	Io fontana sarò di vivo foco,

ID:S87             	L70	V24:	Nè mi varrà, ch’io mi convertà in fonte.

ID:S87             	L72	V25:	Perché la dolce mia tranquilla fonte

ID:S87             	L73	V26:	Più non mi scampi, ò fiume algente, ò rivo:

ID:S87             	L74	V27:	Fuggirò il foco in mezo al novo foco,

ID:S87             	L75	V28:	E le mie fiamme struggerà la fiamma,

ID:S87             	L76	V29:	Che nacque in me dagli amorosi raggi:

ID:S87             	L77	V30:	Mentre io gioiva il seno aprendo à l’aura.

ID:S87             	L79	V31:	Ò lauri, o palme, ove giacendo à l’aura,

ID:S87             	L80	V32:	Per dolcezza languiva, ò bella fonte,

ID:S87             	L81	V33:	In cui già vidi tremolare i raggi;

ID:S87             	L82	V34:	Ò solitaria chiostra, o vago rivo,

ID:S87             	L83	V35:	S’io trovo ancor quella mia cara fiamma,

ID:S87             	L84	V36:	Tra i fiori, e l’erbe, ov’è sparito il foco?

ID:S87             	L86	V37:	Ò s’estingua il mio foco, o spiri l’aura:

ID:S87             	L87	V38:	Ò s’adombrino i raggi, o cresca il rivo;

ID:S87             	L88	V39:	E se scalda la fiamma: instilli il fonte.

