ID:S87             	L94	V1:	Eran velati i crespi, e biondi crini,

ID:S87             	L95	V2:	E ’l bel vermiglio, e ’l candido colore,

ID:S87             	L96	V3:	E la bocca, che spira un dolce odore,

ID:S87             	L97	V4:	Fra perle orientali, e fra rubini;

ID:S87             	L99	V5:	E breve spazio dentro a’ suoi confini,

ID:S87             	L100	V6:	Rinchiudea maestà, gratia , & honore;

ID:S87             	L101	V7:	E solo in voi si discopriva Amore,

ID:S87             	L102	V8:	E da voi saettava, occhi divini.

ID:S87             	L104	V9:	E tanto m’abbagliò la vista ardita,

ID:S87             	L105	V10:	Che pien di maraviglia, e pien d’oblio,

ID:S87             	L106	V11:	Non conobbi lo stral, nè la ferita.

ID:S87             	L108	V12:	Lasso, deh chi m’inganna, allhor  diss’io,

ID:S87             	L109	V13:	Lumi sereni de la oscura vita;

ID:S87             	L110	V14:	S’erro, vostra è la colpa, e ’l danno è mio.

