ID:P3              	L10	V1:	Arsi mentre m'amaste,

ID:P3              	L11	V2:	Ed al cortese affetto

ID:P3              	L12	V3:	Pagò tributo di sospiri il petto.

ID:P3              	L14	V4:	Ma poichè il vostro amore

ID:P3              	L15	V5:	Volgeste in altra parte,

ID:P3              	L16	V6:	Donna, s'estinse anco il mio foco in parte.

ID:P3              	L17	V7:	Sorse poi novo ardore,

ID:P3              	L18	V8:	Ma fiamma fu di sdegno

ID:P3              	L19	V9:	Perchè ’l mio don di voi stimaste indegno:

ID:P3              	L20	V10:	Questa seccò le chiome

ID:P3              	L21	V11:	Del lauro, ond’onorava il vostro nome.

