ID:S28             	L21	V1:	Mentre i dipinti augelli,

ID:S28             	L22	V2:	Cara Licori mia,

ID:S28             	L23	V3:	Fra le superbe piante, e gli arboscelli

ID:S28             	L24	V4:	Facean bella armonia,

ID:S28             	L25	V5:	Et hora questi, hor quelli

ID:S28             	L26	V6:	Alternano à prova I vaghi accenti,

ID:S28             	L27	V7:	Diss’io pien di stupore,

ID:S28             	L28	V8:	Questa è la scola, cu’è maestro Amore.

ID:S28             	L29	V9:	Deh, perche non apprendo I bei lamenti

ID:S28             	L30	V10:	Ne’ miei dolci tormenti?

