ID:Trm0256d-Tenore 	L230	V1:	Amor che qui d’intorno

ID:Trm0256d-Tenore 	L231	V2:	Hor fai ben mille scherz’e mille giri

ID:Trm0256d-Tenore 	L232	V3:	S’ardisci numerara tante mie pene

ID:Trm0256d-Tenore 	L233	V4:	E tanti miei sospiri

ID:Trm0256d-Tenore 	L234	V5:	Che son più che l’arene

ID:Trm0256d-Tenore 	L235	V6:	Più che l’onde del mar più che le stelle

ID:Trm0256d-Tenore 	L236	V7:	Racconta a la mia donne e queste e quelle

ID:Trm0256d-Tenore 	L237	V8:	E di ch’io viv’accio che resti in vita

ID:Trm0256d-Tenore 	L238	V9:	La mia doglia infinita.

