ID:Flc2            	L10	V1:	Già fui caro a gli occhi tuoi

ID:Flc2            	L11	V2:	O mio sole,

ID:Flc2            	L12	V3:	Vissi lieto del tuo amore,

ID:Flc2            	L13	V4:	Del mio ardore;

ID:Flc2            	L14	V5:	Or che piú non m’ami,

ID:Flc2            	L15	V6:	Come esser può, che mai più viver brami?

ID:Flc2            	L17	V7:	Tu pur vedi il pianto mio

ID:Flc2            	L18	V8:	O mia gioia,

ID:Flc2            	L19	V9:	Sai ch’io t’amo, ch’io t’adoro,

ID:Flc2            	L20	V10:	Ch’io mi moro,

ID:Flc2            	L21	V11:	E mi sei crudele,

ID:Flc2            	L22	V12:	Questa è mercé de l’amor mio fedele?

ID:Flc2            	L24	V13:	Ma se godi del mio male

ID:Flc2            	L25	V14:	O mio bene

ID:Flc2            	L26	V15:	Son contento di languire,

ID:Flc2            	L27	V16:	Di morire,

ID:Flc2            	L28	V17:	S’io vedrò, che poi

ID:Flc2            	L29	V18:	Il mio morir sia caro a gli occhi tuoi.

