ID:Flc2            	L10	V1:	Occhi miei mal accorti,

ID:Flc2            	L11	V2:	A gran ragione di voi sol mi doglio,

ID:Flc2            	L12	V3:	Ché voi sete cagion del mio cordoglio.

ID:Flc2            	L14	V4:	Per voi sol, che mirate,

ID:Flc2            	L15	V5:	Io son ferito da lo stral d’Amore,

ID:Flc2            	L16	V6:	E per voi se ne va veloce al core:

ID:Flc2            	L18	V7:	Dunque voi nel mirare

ID:Flc2            	L19	V8:	Siate piú accorti, perche non conviene

ID:Flc2            	L20	V9:	Ch’io di vostro gioir porti le pene.

