ID:Flc2            	L10	V1:	Correte, amanti, a le bellezze nove,

ID:Flc2            	L11	V2:	Donna, c’ha sì begli occhi, e sì bel volto,

ID:Flc2            	L12	V3:	Che, sol mirando ha tolto

ID:Flc2            	L13	V4:	L’arco ad Amore, e le saette a Giove.

ID:Flc2            	L15	V5:	Mirate le vaghezze altere, e sole,

ID:Flc2            	L16	V6:	D’un bel crin vago, e biondo, a l’aura sciolto

ID:Flc2            	L17	V7:	Che sol, senz’arte ha tolto

ID:Flc2            	L18	V8:	Il pregio a l’oro, e la sua luce al sole

ID:Flc2            	L20	V9:	Udite le parole, udite il canto

ID:Flc2            	L21	V10:	Fra bianche perle, e bei rubini accolto,

ID:Flc2            	L22	V11:	Ch'e'n un sospiro hà tolto

ID:Flc2            	L23	V12:	A Febo l’arte, a le sirene il vanto.

ID:Flc2            	L25	V13:	Come <del>dunque</del> fuggir dunque potrete homai,

ID:Flc2            	L26	V14:	Che nel’udirla, o vagheggiarle il volto

ID:Flc2            	L27	V15:	Il cor non vi sia tolto

ID:Flc2            	L28	V16:	E che ritorni al vostro petto mai.

