ID:Flc2            	L10	V1:	Amarilli, s’io te miro

ID:Flc2            	L11	V2:	Miro il sol degl'occhi miei,

ID:Flc2            	L12	V3:	Tanto bella, e vaga sei,

ID:Flc2            	L13	V4:	Ch’io per altra non sospiro.

ID:Flc2            	L15	V5:	Se tu ridi, il dolce riso

ID:Flc2            	L16	V6:	M’apre il ciel di primavera,

ID:Flc2            	L17	V7:	O sei cruda, o lusinghiera

ID:Flc2            	L18	V8:	Sempre hò innanzi il tuo bel viso.

ID:Flc2            	L20	V9:	Se tu parli et io ti sento

ID:Flc2            	L21	V10:	Sento un’aura in mezzo Aprile

ID:Flc2            	L22	V11:	Si soave, e si gentile,

ID:Flc2            	L23	V12:	Che fà dolce il mio tormento.

