ID:Flc2            	L10	V1:	Voi volete ch’io v’ami,

ID:Flc2            	L11	V2:	E non volete, che per voi sospiri:

ID:Flc2            	L12	V3:	Questi son pur d’Amor novi martiri.

ID:Flc2            	L14	V4:	Se con gl'occhi m’ardete,

ID:Flc2            	L15	V5:	E l’alma è vaga di si dolce ardore

ID:Flc2            	L16	V6:	Come pò star la fiamma chiusa al core?

ID:Flc2            	L18	V7:	Se il mio foco vi piace,

ID:Flc2            	L19	V8:	E s’io mostrarlo co’ sospir m’ingegno,

ID:Flc2            	L20	V9:	Perche, crudel, cosi li avete a sdegno?

