ID:Flc2            	L10	V1:	Io son la Primavera,

ID:Flc2            	L11	V2:	Che lieta, o vaghe donne, a voi ritorno

ID:Flc2            	L12	V3:	Co'l mio bel manto adorno

ID:Flc2            	L13	V4:	Per vestir le campagne d’erbe, e fiori,

ID:Flc2            	L14	V5:	E svegliarvi nel cor novelli amori.

ID:Flc2            	L16	V6:	A me Zefiro spira,

ID:Flc2            	L17	V7:	A me ride la terra, e ’l ciel sereno,

ID:Flc2            	L18	V8:	Volan di seno, in seno

ID:Flc2            	L19	V9:	Gli amoretti vezzosi a mille, a mille,

ID:Flc2            	L20	V10:	Chi armato di stral, chi di faville.

ID:Flc2            	L22	V11:	E voi ancor gioite

ID:Flc2            	L23	V12:	Godete al mio venir tra risi, e canti,

ID:Flc2            	L24	V13:	Amate i vostri amanti,

ID:Flc2            	L25	V14:	Hor che ’l bel viso amato april v’infiora;

ID:Flc2            	L26	V15:	PRIMAVERA per voi non torna ogn'hora.

