ID:W               	L38	V1:	Odi Filli che tuona odi, ch'in gelo

ID:W               	L39	V2:	Il vapor di lassu converso piove;

ID:W               	L40	V3:	Ma che curar dobbiam che faccia Giove

ID:W               	L41	V4:	Godiam noi qui, s’egli è turbato in cielo

ID:W               	L43	V5:	Godiamo amando, et con ardente zelo

ID:W               	L44	V6:	Queste gioie noturne in noi rinnove.

ID:W               	L45	V7:	Tema il volgo i suoi tuoni, e porti altrove

ID:W               	L46	V8:	Fortuna o caso il suo fulmineo telo

ID:W               	L48	V9:	Ben folle et a se stesso empio è colui

ID:W               	L49	V10:	Che dubbia e pave, e n' aspettando il male

ID:W               	L50	V11:	Gli si fa incontro, e sua miseria affretta

ID:W               	L52	V12:	Pera il mondo et ruini; a me non cale

ID:W               	L53	V13:	Se non di quanto hor qui piace et diletta

ID:W               	L54	V14:	Che se terra sarò, terra ancor fui.

