ID:P4              	L10	V1:	Aminta poiche à Filli non dispiacque

ID:P4              	L11	V2:	Del medesmo desir mostrarsi accesa

ID:P4              	L12	V3:	E ch’ella à questo sol gia tanto attesa

ID:P4              	L13	V4:	Nelle sue braccia alfin nuda si giacque:

ID:P4              	L15	V5:	A lei che più ch’alcun’altra li piacque

ID:P4              	L16	V6:	Dal soverchio piacer sentendo offesa

ID:P4              	L17	V7:	L’alma felice in si bel laccio presa

ID:P4              	L18	V8:	Cosi languendo disse e poi si tacque

ID:P4              	L20	V9:	Cogliete anima mia quest’alma ch’io

ID:P4              	L21	V10:	Vi spiro in braccio ahi che mi giunge al core

ID:P4              	L22	V11:	Al core ahi lasso un venen dolce e rio

ID:P4              	L24	V12:	Io l' sento ohime da queste labbra Amore

ID:P4              	L25	V13:	Per troncar la radice al viver mio

ID:P4              	L26	V14:	In dolcissimi baci il manda fuore.

