ID:S48             	L65	V1:	Voi sete bella, ma fugace e presta

ID:S48             	L66	V2:	Come cervetta suole,

ID:S48             	L67	V3:	Che fugge per le selve oscure o sole,

ID:S48             	L68	V4:	E cerca fiume o rio,

ID:S48             	L69	V5:	Tal che vi segno indarno, e vi desio.

ID:S48             	L71	V6:	Voi sete bella, mà si dura e fredda,

ID:S48             	L72	V7:	Come gelata fonte,

ID:S48             	L73	V8:	In’horrid’alpe, o bel cristallo in monte:

ID:S48             	L74	V9:	Ne ve riscalda il fuoco.

ID:S48             	L75	V10:	De’ miei sospiri, e sono acceso e roco.

