ID:S87             	L94	V1:	Ha gigli, & rose, & hà rubini, & oro,

ID:S87             	L95	V2:	E due serene stelle, e mille raggi

ID:S87             	L96	V3:	Il bel vostro purpureo, e bianco viso,

ID:S87             	L97	V4:	Onde sua primavera è ’l suo tesoro,

ID:S87             	L98	V5:	E gemme i vaghi fiori, e lieti Maggi

ID:S87             	L99	V6:	Lucide fiamme son di Paradiso:

ID:S87             	L100	V7:	Ma ’l più bel pregio è la virtù de l’alma,

ID:S87             	L101	V8:	Ch’ è di se stessa à voi corona, e palma.

ID:S87             	L103	V9:	La natura v’armò, bella Guerrera,

ID:S87             	L104	V10:	E strali sono i guardi, e nodi i crini,

ID:S87             	L105	V11:	E le due chiare luci ambe facelle;

ID:S87             	L106	V12:	E ’n vostro Campo, e ne la prima schiera

ID:S87             	L107	V13:	L’ honor la gloria; e stanno à lor vicini

ID:S87             	L108	V14:	Gli alti costumi, e le virtuti anch’elle:

ID:S87             	L109	V15:	Et un diaspro intorno il cor v’hà cinto;

ID:S87             	L110	V16:	E voi sete la Duce: Amore il vinto.

