ID:S87             	L136	V1:	Passa la nave mia, che porta il core

ID:S87             	L137	V2:	Sotto un sereno ciel di stelle adorno,

ID:S87             	L138	V3:	Per queto mare, e stà la notte e ’l giorno,

ID:S87             	L139	V4:	Spiando i venti al suo governo Amore,

ID:S87             	L141	V5:	A ciascun remo un bel desio d’honore,

ID:S87             	L142	V6:	Non teme di fortuna oltraggio, o scorno:

ID:S87             	L143	V7:	Empie la vela e rasseren intorno,

ID:S87             	L144	V8:	Aura di gioia, e tempra il dolce ardore.

ID:S87             	L146	V9:	Nebbia non lenta mai di feri sdegni

ID:S87             	L147	V10:	Le sarte, che di fede ,e di speranza,

ID:S87             	L148	V11:	Ha di sua mano il mio Signore attorto.

ID:S87             	L150	V12:	E scopro i duo lucenti amici segni,

ID:S87             	L151	V13:	E vive la ragione, e l’arte avanza:

ID:S87             	L152	V14:	Talch’io già prendo il desiato porto.

