ID:S87             	L87	V1:	Ciò che morte rallenta, Amor, restringi,

ID:S87             	L88	V2:	Amico tù di pace, ella di guerra,

ID:S87             	L89	V3:	E del suo trionfar, trionfi, e regni:

ID:S87             	L90	V4:	E mentre due bell’alme annodi, e cingi,

ID:S87             	L91	V5:	Cosi rendi sembiante al ciel la terra,

ID:S87             	L92	V6:	Che d’habitarla tù non fuggi, ò sdegni,

ID:S87             	L93	V7:	Non sono ire la sù; gli humani ingegni

ID:S87             	L94	V8:	Tu placidi ne rendi, e l’odio interno

ID:S87             	L95	V9:	Sgombri signor da mansueti cori,

ID:S87             	L96	V10:	Sgombri mille furori,

ID:S87             	L97	V11:	E quasi fai col tuo valor superno,

ID:S87             	L98	V12:	De le cose mortali un giro eterno.

