ID:Flc2            	L10	V1:	Occhi leggiadri, e belli,

ID:Flc2            	L11	V2:	Hor che volete più dal petto mio?

ID:Flc2            	L12	V3:	Il core è vostro, e vostro il mio desio.

ID:Flc2            	L14	V4:	Voi de fiammelle, e strali

ID:Flc2            	L15	V5:	A mio danno v’armate a tutte l’hore,

ID:Flc2            	L16	V6:	E pur sapete ben, ch’io non ho core.

ID:Flc2            	L18	V7:	Il cor da voi fù preso

ID:Flc2            	L19	V8:	Quel di, ch’io vi mirai, e vive in pene,

ID:Flc2            	L20	V9:	E voi gli ordite ancor nove catene.

ID:Flc2            	L22	V10:	Ma se pur vivo, ahi lasso.

ID:Flc2            	L23	V11:	Vivo del vostro lume, e del mio pianto,

ID:Flc2            	L24	V12:	E di tal vita ogn'hor mi glorio, e vanto.

